Longevity,Education,Sex,Age,Activity,Sport,Family,IsAlone,SocialStatus,AgeRanges
0,3,0.0,0.3,0.014151035465422677,1.0,1,0.0,0.8922155688622755,3.0
1,1,1.0,0.5,0.13912907696211427,0.0,1,0.0,0.029940119760479042,4.0
1,3,1.0,0.3,0.015478304998731287,1.0,0,1.0,0.8922155688622755,3.0
1,1,1.0,0.4,0.10364413561571643,0.0,1,0.0,0.023952095808383235,3.0
0,3,0.0,0.4,0.015712529034021042,1.0,0,1.0,0.9101796407185628,3.0
0,3,0.0,0.3,0.016512794487927702,1.0,0,1.0,0.8922155688622755,3.0
0,1,0.0,0.7,0.10122382058438897,1.0,0,1.0,0.041916167664670656,5.0
0,3,0.0,0.0,0.0411453555325669,1.0,4,0.0,0.8383233532934131,1.0
1,3,1.0,0.3,0.021724279273124744,1.0,2,0.0,0.8922155688622755,3.0
1,2,1.0,0.2,0.058692639509691016,1.0,1,0.0,0.4431137724550898,2.0
1,3,1.0,0.1,0.032596178244490855,0.0,2,0.0,0.8562874251497006,2.0
1,1,1.0,0.7,0.05182206780785822,1.0,0,1.0,0.041916167664670656,5.0
0,3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
0,3,0.0,0.5,0.06105439853219605,0.0,6,0.0,0.9281437125748503,4.0
0,3,1.0,0.2,0.01532215564187145,1.0,0,1.0,0.874251497005988,2.0
1,2,1.0,0.7,0.031229871371967286,1.0,0,1.0,0.5029940119760479,5.0
0,3,0.0,0.0,0.05685788456658794,1.0,5,0.0,0.8383233532934131,1.0
1,2,0.0,0.3,0.02537427048972342,0.0,0,1.0,0.4550898203592814,3.0
0,3,1.0,0.4,0.035133605293463196,1.0,1,0.0,0.9101796407185628,3.0
1,3,1.0,0.3,0.014111998126207718,1.0,0,1.0,0.8922155688622755,3.0
0,2,0.0,0.4,0.05074854097944684,1.0,0,1.0,0.46706586826347307,3.0
1,2,0.0,0.4,0.02537427048972342,1.0,0,1.0,0.46706586826347307,3.0
1,3,1.0,0.2,0.015673491694806082,1.0,0,1.0,0.874251497005988,2.0
1,1,0.0,0.4,0.06929127710655242,0.0,0,1.0,0.023952095808383235,3.0
0,3,1.0,0.1,0.0411453555325669,1.0,4,0.0,0.8562874251497006,2.0
1,3,1.0,0.5,0.06126910389787832,0.0,6,0.0,0.9281437125748503,4.0
0,3,0.0,0.3,0.014111998126207718,1.0,0,1.0,0.8922155688622755,3.0
0,1,0.0,0.2,0.5133410106767122,1.0,5,0.0,0.011976047904191617,2.0
1,3,1.0,0.3,0.01538071165069389,1.0,0,1.0,0.8922155688622755,3.0
0,3,0.0,0.3,0.015419748989908848,1.0,0,1.0,0.8922155688622755,3.0
0,1,0.0,0.5,0.05410575215193333,0.0,0,1.0,0.029940119760479042,4.0
1,1,1.0,0.3,0.28598754708879043,0.0,1,0.0,0.017964071856287425,3.0
1,3,1.0,0.3,0.015126968945796654,1.0,0,1.0,0.8922155688622755,3.0
0,2,0.0,0.8,0.020494603087853534,1.0,0,1.0,0.5149700598802395,5.0
0,1,0.0,0.4,0.1603849081646595,0.0,1,0.0,0.023952095808383235,3.0
0,1,0.0,0.5,0.10149708195889368,1.0,1,0.0,0.029940119760479042,4.0
1,3,0.0,0.3,0.014111998126207718,1.0,0,1.0,0.8922155688622755,3.0
0,3,0.0,0.3,0.015712529034021042,1.0,0,1.0,0.8922155688622755,3.0
